W,W,W,W,W,W,W,W,W,W,W,W,W,,,W,W,W,W,W,,,,W,W,W,W,W,,,W,,,,,W,W,W,W,W,,,W,W,,,,,,,,,W,,,,,D,,,,,,,,,W,,,,,W,,,W,,,,,,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,W,,,,,W,,,,D,,,W,W,,,,,,,,W,W,,,,,D,,,,,,,,W,W,,,,,W,,,W,W,,,,,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,W,,,,,W,W,,,W,,,W,W,,,,,,,W,W,W,,,,,W,,,,,,,W,W,W,,,,,W,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,D,W,W,W,W,W,W,W,W,W,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,W,W,W,W,W,W,W,W,W,W,,,,,W,D,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W
D,W,W,W,W,W,W,W,W,D,W,W,W,W,W,W,W,W,D,W,W,W,W,W,W,W,W,D,W,W,W,W,W,W,W,W,D,W,W,W,W,W,W,W,W,D,W,W,W,W,W,W,W,W,D,W,W,W,W,W,W,W,W,D,W,W,W,W,W,W,W,W,D,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
,,W,W,W,W,W,W,W,,,W,W,W,W,W,W,W,,,W,W,W,W,W,W,W,,,W,W,W,W,W,W,W,,,W,W,W,W,W,W,W,,,W,W,W,W,W,W,W,,,W,W,W,W,W,W,W,,,W,W,W,W,W,W,W,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
,,W,W,,,,,W,,,W,W,,,,,W,,,W,W,,,,,W,,,W,W,,,,,W,,,W,W,,,,,W,,,W,W,,,,,W,,,W,W,,,,,W,,,W,W,,,,,W,,,W,W,,,,,W,W,W,W,W,W,W,W,W
,,W,,,,,,W,,,W,,,,,,W,,,W,,,,,,W,,,W,,,,,,W,,,W,,,,,,W,,,W,,,,,,W,,,W,,,,,,W,,,W,,,,,,W,,,W,,,,,,W,W,W,W,W,W,W,W,W
,,W,,,,,,W,,,W,,,,,,W,,,W,,,,,,W,,,W,,,,,,W,,,W,,,,,,W,,,W,,,,,,W,,,W,,,,,,W,,,W,,,,,,W,,,W,,,,,,W,W,W,W,W,W,W,W,W
,,W,,,,,,W,,,W,,,,,,W,,,W,,,,,,W,,,W,,,,,,W,,,W,,,,,,W,,,W,,,,,,W,,,W,,,,,,W,,,W,,,,,,W,,,W,,,,,,W,W,W,W,W,W,W,W,W
,,,,,,,,W,,,,,,,,,W,,,,,,,,,W,,,,,,,,,W,,,,,,,,,W,,,,,,,,,W,,,,,,,,,W,,,,,,,,,W,,,,,,,,,W,W,W,W,W,W,W,W,W
,,,,,,,,W,,,,,,,,,W,,,,,,,,,W,,,,,,,,,W,,,,,,,,,W,,,,,,,,,W,,,,,,,,,W,,,,,,,,,W,,,,,,,,,W,W,W,W,W,W,W,W,W
,,,,,,,,W,,,,,,,,,W,,,,,,,,,W,,,,,,,,,W,,,,,,,,,W,,,,,,,,,W,,,,,,,,,W,,,,,,,,,W,,,,,,,,,W,W,W,W,W,W,W,W,W
